row_number,customer_id,surname,credit_score,geography,gender,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited
284,15699389,Ch'ien,807,France,Male,42,7.0,118274,1,1,1,25885,0
285,15708608,Wallwork,799,France,Female,22,8.0,174185,2,0,1,192633,0
286,15626144,Chu,675,France,Male,40,7.0,113208,2,1,0,34577,0
287,15573112,Kang,602,Spain,Male,29,1.0,103907,1,1,0,161229,0
288,15790678,Davidson,475,France,Female,32,8.0,119023,1,1,0,100816,0
289,15727556,O'Donnell,744,Spain,Female,26,5.0,166297,1,1,1,181694,0
290,15697307,Nnachetam,588,Spain,Male,34,10.0,0,2,1,0,79078,0
291,15652266,Chidiebele,703,Germany,Male,42,1.0,63227,1,0,1,137316,0
292,15607098,Ahmed,747,Spain,Female,41,5.0,94521,2,1,0,194926,0
293,15655774,Booth,583,France,Male,27,7.0,0,2,1,0,51285,0
294,15590241,Chuang,750,Spain,Female,34,9.0,112822,1,0,0,150401,1
295,15785819,Shao,681,France,Male,38,3.0,0,2,1,1,112491,0
296,15723654,Tsao,773,France,Male,25,2.0,135903,1,1,0,73656,0
297,15774510,Tien,714,France,Female,31,4.0,125169,1,1,1,106636,0
298,15684173,Chang,687,Spain,Female,44,7.0,0,3,1,0,155853,1
299,15650068,Johnson,511,France,Male,58,0.0,149117,1,1,1,162599,0
300,15811490,French,627,France,Male,33,5.0,0,2,1,1,103737,0
301,15803976,Efremov,694,France,Female,31,10.0,0,2,1,0,160990,0
302,15682541,Hartley,616,Spain,Female,36,6.0,132311,1,0,0,15462,0
303,15695699,Calabrese,687,France,Male,35,8.0,0,2,1,0,10334,0
304,15624188,Chiu,712,France,Female,33,6.0,0,2,1,1,190686,0
305,15812191,Brennan,553,France,Male,33,4.0,118082,1,0,0,94440,0
306,15636673,Onwuatuegwu,667,France,Male,31,1.0,119266,1,1,1,28257,0
307,15594898,Hewitt,731,France,Male,43,2.0,0,1,1,1,170034,1
308,15660211,Shih,629,Germany,Male,35,7.0,156847,2,1,0,31824,0
309,15773972,Balashov,614,France,Male,50,4.0,137104,1,1,0,127166,1
310,15746726,Doyle,438,Germany,Male,31,8.0,78398,1,1,0,44937,0
311,15712287,Pokrovskii,652,France,Female,80,4.0,0,2,1,1,188603,0
312,15702919,Collins,729,Germany,Male,30,6.0,63669,1,1,0,145111,0
313,15674398,Russo,642,France,Male,38,3.0,0,2,0,0,171463,0
314,15797960,Skinner,806,Germany,Female,59,0.0,135296,1,1,0,182822,0
315,15631868,Robertson,744,Spain,Male,36,2.0,153804,1,1,1,87213,0
316,15581539,Atkinson,474,Spain,Male,37,3.0,0,2,0,0,57175,0
317,15662736,Doyle,559,France,Male,49,2.0,147069,1,1,0,120540,1
318,15666252,Ritchie,706,Spain,Male,42,9.0,0,2,1,1,28714,0
319,15677512,McEncroe,628,Spain,Female,22,3.0,0,1,1,0,85426,0
320,15626114,Pearson,429,France,Male,24,4.0,95741,1,1,0,46170,0
321,15810834,Gordon,525,Spain,Female,57,1.0,145965,1,1,1,64448,0
322,15678910,Ts'ai,680,France,Female,30,8.0,141441,1,1,1,16278,0
323,15694408,Lung,749,France,Male,40,1.0,139290,1,1,0,182855,1
324,15585215,Yuan,763,France,Female,31,1.0,0,2,0,0,50404,0
325,15682757,Pardey,734,France,Male,30,3.0,0,2,1,0,107640,0
326,15736601,Tai,716,France,Male,35,4.0,144428,1,1,0,134132,0
327,15601848,Scott,594,France,Male,35,2.0,0,2,1,0,103480,0
328,15736008,Hunter,644,France,Female,46,9.0,95441,1,1,0,108761,1
329,15669064,Mazzanti,671,Germany,Male,35,1.0,144848,1,1,1,179012,0
330,15624528,L?,664,Germany,Male,26,1.0,116244,2,1,1,95145,0
331,15598493,Beach,656,France,Male,50,7.0,0,2,0,1,72143,0
332,15601274,Hsieh,667,Spain,Female,40,1.0,146502,1,1,0,19162,0
333,15702669,Faulkner,663,Germany,Male,44,2.0,117028,2,0,1,144680,0
334,15728669,Knowles,584,Germany,Female,30,8.0,112013,1,1,0,177772,1
335,15742668,Day,626,Spain,Female,37,6.0,108269,1,1,0,5597,0
336,15697441,Hsueh,485,France,Male,29,7.0,182123,1,1,0,116828,1
337,15740476,Tsao,659,Germany,Female,32,3.0,150923,2,0,1,174652,0
338,15648064,Kennedy,649,France,Male,33,2.0,0,2,1,0,2010,0
339,15636624,Nwabugwu,805,Spain,Female,39,5.0,165272,1,1,0,14109,1
340,15807923,Young,716,Germany,Female,39,10.0,115301,1,1,0,43527,1
341,15745844,Kerr,642,Germany,Female,40,6.0,129502,2,0,1,86099,1
342,15786170,Tien,659,France,Male,31,1.0,118342,1,0,0,161574,0
343,15681081,Marrero,545,Spain,Female,47,5.0,0,2,1,1,38970,0
344,15684484,White,543,France,Male,22,8.0,0,2,0,0,127587,0
345,15785869,Pisano,718,France,Female,25,7.0,0,2,1,0,30380,0
346,15763859,Brown,840,France,Female,43,7.0,0,2,1,0,90908,0
347,15658935,Freeman,630,Germany,Female,34,9.0,106937,2,1,0,138275,0
348,15747358,Russell,643,Germany,Male,59,1.0,170331,1,1,1,32171,0
349,15735203,Seleznyov,654,Germany,Female,32,1.0,114510,1,1,1,126143,0
350,15576256,Yusupova,582,France,Male,39,5.0,0,2,1,1,129892,0
351,15659420,Foley,659,Spain,Male,32,3.0,107594,2,1,1,102416,0
352,15593365,Shih,762,Spain,Male,39,1.0,81273,1,1,1,18719,0
353,15777352,Ikedinachukwu,568,Spain,Female,32,7.0,169399,1,1,0,61936,0
354,15812007,Power,670,Spain,Male,25,1.0,0,2,1,1,78358,0
355,15625461,Amos,613,France,Female,45,1.0,187841,2,1,1,147224,0
356,15739438,Reed,539,France,Male,30,1.0,0,2,1,0,160979,0
